maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,tenTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,tenNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
50354,Hồ Quan Sơn,"Được ví là 'Hạ Long trên cạn' của Hà Nội, với cảnh quan non nước hữu tình, thích hợp cho chèo thuyền và thư giãn.","Huyện Mỹ Đức, Hà Nội (cách trung tâm khoảng 50km)",79,Hà Nội,khach_san,20.730331,105.745427,15000.0,07:00 - 18:00,,,,4.3,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Chèo thuyền, ngắm cảnh, cắm trại",Dịch vụ thuyền bè
50355,Công viên Thống Nhất,"Một trong những công viên lớn nhất Hà Nội, với Hồ Bảy Mẫu, thích hợp cho các hoạt động thể thao, giải trí nhẹ nhàng.","Trần Nhân Tông, Lê Đại Hành, Hai Bà Trưng, Hà Nội",79,Hà Nội,giai_tri,21.006935,105.845941,,05:00 - 22:00,,,,4.3,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Chạy bộ, đạp vịt, khu vui chơi trẻ em","Quán nước, khu tập thể thao"
50362,Đồi Bù (Sóc Sơn/Lương Sơn),"Địa điểm du lịch mạo hiểm nổi tiếng gần Hà Nội, nơi tổ chức các hoạt động dù lượn và cắm trại ngắm cảnh.","Xã Nam Phương Tiến, Chương Mỹ, Hà Nội (Gần khu vực Hoà Bình)",79,Hà Nội,khach_san,20.90045,105.51352,1200.0,Cả ngày,,,,4.3,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Dù lượn, cắm trại, ngắm mây",Dịch vụ cho thuê lều trại
50367,Khu di tích Thành Cổ Loa,"Kinh đô của nhà nước Âu Lạc thời An Dương Vương, nổi tiếng với kiến trúc thành lũy xoáy trôn ốc cổ kính.","Xã Cổ Loa, Đông Anh, Hà Nội",79,Hà Nội,dia_danh,21.139,105.879,10000.0,08:00 - 17:00,,,,4.3,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Thành lũy, đền thờ An Dương Vương",
50410,Chùa Một Cột,Thông tin về Chùa Một Cột tại Hanoi. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0356,105.8322,,,,,,4.3,0,0,,,2025-11-04 13:34:43,2025-11-04 13:34:43,active,"{""category"": ""religious"", ""source"": """", ""image_url"": null, ""province"": null}",
50416,Đảo Titop,Thông tin về Đảo Titop tại Quang Ninh. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Quang Ninh, Việt Nam",123,Quảng Ninh,dia_danh,20.9101,107.1839,,,,,,4.3,0,0,,,2025-11-04 13:34:45,2025-11-04 13:34:45,active,"{""category"": ""beach"", ""source"": """", ""image_url"": null, ""province"": null}",
50455,Dining Vietnam,Nhà hàng seafood restaurant tại Thua Thien Hue,"Thua Thien Hue, Việt Nam",131,Thừa Thiên Huế,nha_hang,16.857022618070758,107.69740859353512,,,,,,4.3,0,0,,,2025-11-04 13:36:15,2025-11-04 13:36:15,active,"{""category"": ""seafood_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50460,Chùa Linh Ứng,Ngôi chùa với tượng Phật lớn nhất Việt Nam,"Da Nang, Việt Nam",86,Đà Nẵng,dia_danh,16.0567,108.2456,,,,,,4.3,0,0,,,2025-11-04 13:36:16,2025-11-04 13:36:16,active,"{""category"": ""religious"", ""source"": """", ""image_url"": null, ""province"": null}",
50461,Riverside Vietnam,Nhà hàng traditional restaurant tại Da Nang,"Da Nang, Việt Nam",86,Đà Nẵng,nha_hang,16.234695773755824,107.73906009944604,,,,,,4.3,0,0,,,2025-11-04 13:36:16,2025-11-04 13:36:16,active,"{""category"": ""traditional_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50494,Seaside Vietnam,Nhà hàng fine dining tại Ba Ria - Vung Tau,"Ba Ria - Vung Tau, Việt Nam",85,TP. Hồ Chí Minh,dia_danh,10.02263531094275,106.76260520445052,,,,,,4.3,0,0,,,2025-11-04 13:36:27,2025-11-04 13:36:27,active,"{""category"": ""fine_dining"", ""source"": """", ""image_url"": null, ""province"": null}",
50500,Nha Trang Bistro,Nhà hàng upscale restaurant tại Tay Ninh,"Tay Ninh, Việt Nam",95,Bình Dương,nha_hang,11.498684146476618,106.20939661472852,,,,,,4.3,0,0,,,2025-11-04 13:36:29,2025-11-04 13:36:29,active,"{""category"": ""upscale_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50510,Com Ga Hai Nam,Cơm gà Hải Nam nổi tiếng,"Hanoi, Việt Nam",79,Hà Nội,nha_hang,21.0255,105.8542,,,,,,4.3,0,0,,,2025-11-04 13:38:12,2025-11-04 13:38:12,active,"{""category"": ""chicken_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50531,Lang Ho,Điểm đến beach tại Hanoi,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,20.786199062326936,106.29216808902342,,,,,,4.3,0,0,,,2025-11-04 13:38:19,2025-11-04 13:38:19,active,"{""category"": ""beach"", ""source"": """", ""image_url"": null, ""province"": null}",
50565,Hoi An Bistro,Nhà hàng cafe tại Thanh Hoa,"Thanh Hoa, Việt Nam",130,Thanh Hóa,dia_danh,20.249367834696805,105.98138529895266,,,,,,4.3,0,0,,,2025-11-04 13:38:30,2025-11-04 13:38:30,active,"{""category"": ""cafe"", ""source"": """", ""image_url"": null, ""province"": null}",
50572,Pagoda Nghe An,Địa điểm pagoda tại Nghe An,"Nghe An, Việt Nam",115,Nghệ An,dia_danh,19.05514857325815,105.34148119233376,,,,,,4.3,0,0,,,2025-11-04 13:38:32,2025-11-04 13:38:32,active,"{""category"": ""pagoda"", ""source"": """", ""image_url"": null, ""province"": null}",
50589,Bay Nghe An,Địa điểm bay tại Nghe An,"Nghe An, Việt Nam",115,Nghệ An,dia_danh,18.55646447557997,105.9613619253862,,,,,,4.3,0,0,,,2025-11-04 13:38:37,2025-11-04 13:38:37,active,"{""category"": ""bay"", ""source"": """", ""image_url"": null, ""province"": null}",
50340,Bảo tàng Dân tộc học Việt Nam,"Nơi lưu giữ, trưng bày các hiện vật về văn hóa 54 dân tộc Việt Nam, với kiến trúc độc đáo và khu vực ngoài trời rộng lớn.","Nguyễn Văn Huyên, Quan Hoa, Cầu Giấy, Hà Nội",79,Hà Nội,dia_danh,21.05047,105.798151,40000.0,08:30 - 17:30,,+84 24 3756 2194,http://www.vme.org.vn/,4.2,5,0,,,2025-11-02 18:33:16,2025-11-04 14:18:47,active,"Trưng bày nhà cửa dân tộc, rối nước","Bãi đỗ xe, quầy hàng thủ công"
50369,Đèo Mã Pí Lèng,"Đèo Mã Pí Lèng là một trong ""Tứ đại đỉnh đèo"" nổi tiếng của Việt Nam, nằm trên cung đường Hạnh Phúc thuộc cao nguyên đá Đồng Văn, tỉnh Hà Giang. Với độ cao khoảng 1.200 mét so với mực nước biển, đèo mang đến khung cảnh thiên nhiên hùng vĩ, ngoạn mục với những vách núi đá tai mèo dựng đứng, vực sâu thăm thẳm và dòng sông Nho Quế xanh biếc uốn lượn dưới chân. Đây là điểm đến không thể bỏ qua cho những ai yêu thích khám phá, trekking và chụp ảnh, đặc biệt là vào mùa hoa tam giác mạch hoặc mùa nước đổ. Con đèo này là một phần của Công viên địa chất toàn cầu UNESCO Cao nguyên đá Đồng Văn, thu hút hàng ngàn du khách mỗi năm bởi vẻ đẹp hoang sơ và thách thức của nó.","Quốc lộ 4C, giữa Đồng Văn và Mèo Vạc, tỉnh Hà Giang, Việt Nam",80,Hà Giang,dia_danh,23.241957,105.397922,,00:00,23:59,,,4.2,5,0,,,2025-11-02 19:14:19,2025-11-04 14:18:45,active,"Một trong 'Tứ đại đỉnh đèo', cảnh quan hùng vĩ, hẻm vực sông Nho Quế, con đường Hạnh Phúc, di sản địa chất toàn cầu, núi đá tai mèo.","Điểm dừng chân, quán cà phê/ăn uống nhỏ ven đường, nhà nghỉ/homestay gần khu vực, bãi đỗ xe tạm, dịch vụ xe ôm/thuê xe máy."
50370,Cột cờ Lũng Cú,"Cột cờ Lũng Cú là một biểu tượng thiêng liêng của chủ quyền quốc gia, đánh dấu điểm cực Bắc của Việt Nam, nằm trên đỉnh núi Rồng (Long Sơn) hùng vĩ thuộc xã Lũng Cú, huyện Đồng Văn, tỉnh Hà Giang. Công trình được xây dựng với kiến trúc mô phỏng cột cờ Hà Nội, cao 33.15m, gồm 8 mặt phù điêu minh họa các hoa văn trống đồng Đông Sơn và những nét văn hóa, lịch sử đặc trưng của Hà Giang. Từ đỉnh cột cờ, du khách có thể chiêm ngưỡng toàn cảnh cao nguyên đá Đồng Văn, những bản làng của người Lô Lô, Mông và hai ao Mắt Rồng quanh năm không cạn, mang đến trải nghiệm khó quên về cảnh quan thiên nhiên và ý nghĩa lịch sử sâu sắc.","Xã Lũng Cú, huyện Đồng Văn, tỉnh Hà Giang, Việt Nam",80,Hà Giang,dia_danh,22.832852,104.987838,25000.0,07:00,17:00,,,4.2,5,0,,,2025-11-02 19:14:47,2025-11-04 14:18:46,active,"Điểm cực Bắc Việt Nam, biểu tượng chủ quyền quốc gia, kiến trúc độc đáo, tầm nhìn panorama hùng vĩ, ao Mắt Rồng","Bãi đỗ xe, cửa hàng lưu niệm, quán nước/ăn uống nhỏ, nhà vệ sinh"
50411,Văn Miếu - Quốc Tử Giám,Thông tin về Văn Miếu - Quốc Tử Giám tại Hanoi. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0267,105.8361,,,,,,4.2,5,0,,,2025-11-04 13:34:44,2025-11-04 14:18:46,active,"{""category"": ""cultural"", ""source"": """", ""image_url"": null, ""province"": null}",
50453,Marina Thua Thien Hue,Địa điểm marina tại Thua Thien Hue,"Thua Thien Hue, Việt Nam",131,Thừa Thiên Huế,dia_danh,16.290651225285824,107.49832108878716,,,,,,4.2,5,0,,,2025-11-04 13:36:14,2025-11-04 14:18:45,active,"{""category"": ""marina"", ""source"": """", ""image_url"": null, ""province"": null}",
50479,Memorial Binh Dinh,Địa điểm memorial tại Binh Dinh,"Binh Dinh, Việt Nam",94,Bình Định,dia_danh,12.974357958479064,109.18133418237694,,,,,,4.2,5,0,,,2025-11-04 13:36:22,2025-11-04 14:18:45,active,"{""category"": ""memorial"", ""source"": """", ""image_url"": null, ""province"": null}",
50504,Hospital Binh Phuoc,Địa điểm hospital tại Binh Phuoc,"Binh Phuoc, Việt Nam",102,Đồng Nai,dia_danh,11.217450245118822,106.8087029220056,,,,,,4.2,5,0,,,2025-11-04 13:36:30,2025-11-04 14:18:45,active,"{""category"": ""hospital"", ""source"": """", ""image_url"": null, ""province"": null}",
50348,Grand World Hà Nội (Ocean Park 3),"Tổ hợp vui chơi giải trí và mua sắm theo phong cách Venice, có kênh đào lãng mạn, quảng trường sôi động và khu phố thương mại.","Đường Đại Dương, Văn Giang, Hưng Yên (Khu vực Đông Hà Nội)",79,Hà Nội,giai_tri,20.938889,105.975,,10:00 - 22:00,,,,4.2,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Đi thuyền Gondola, show The Grand Voyage","Nhà hàng, cafe, khu mua sắm"
50427,Atm Nghe An,Thông tin về Atm Nghe An tại Nghe An. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Nghe An, Việt Nam",115,Nghệ An,dia_danh,18.553826388908167,105.759635518413,,,,,,4.2,0,0,,,2025-11-04 13:34:49,2025-11-04 13:34:49,active,"{""category"": ""atm"", ""source"": """", ""image_url"": null, ""province"": null}",
50456,Bảo tàng Chăm,Bảo tàng nghệ thuật Chăm Pa,"Da Nang, Việt Nam",86,Đà Nẵng,dia_danh,16.0567,108.2456,50000.0,,,,,4.2,0,0,,,2025-11-04 13:36:15,2025-11-04 13:36:15,active,"{""category"": ""museum"", ""source"": """", ""image_url"": null, ""province"": null}",
50498,Hospital Tay Ninh,Địa điểm hospital tại Tay Ninh,"Tay Ninh, Việt Nam",95,Bình Dương,dia_danh,10.953849983449102,106.32497682377831,,,,,,4.2,0,0,,,2025-11-04 13:36:28,2025-11-04 13:36:28,active,"{""category"": ""hospital"", ""source"": """", ""image_url"": null, ""province"": null}",
50519,Banh Cuon Ba Hoanh,Bánh cuốn bà Hoành ngon nhất,"Hanoi, Việt Nam",79,Hà Nội,nha_hang,21.0255,105.8542,,,,,,4.2,0,0,,,2025-11-04 13:38:15,2025-11-04 13:38:15,active,"{""category"": ""breakfast_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50524,Heritage Spa,Spa di sản truyền thống,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0255,105.8542,,,,,,4.2,0,0,,,2025-11-04 13:38:16,2025-11-04 13:38:16,active,"{""category"": ""heritage_spa"", ""source"": """", ""image_url"": null, ""province"": null}",
50529,Highlands Coffee,Chuỗi cafe hiện đại,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.0255,105.8542,,,,,,4.2,0,0,,,2025-11-04 13:38:18,2025-11-04 13:38:18,active,"{""category"": ""chain_cafe"", ""source"": """", ""image_url"": null, ""province"": null}",
50552,Temple Hai Phong,Địa điểm temple tại Hai Phong,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,20.550768288633133,106.90194495369158,,,,,,4.2,0,0,,,2025-11-04 13:38:25,2025-11-04 13:38:25,active,"{""category"": ""temple"", ""source"": """", ""image_url"": null, ""province"": null}",
50568,Bay Thanh Hoa,Địa điểm bay tại Thanh Hoa,"Thanh Hoa, Việt Nam",130,Thanh Hóa,dia_danh,19.574300387981427,106.05806275682552,,,,,,4.2,0,0,,,2025-11-04 13:38:31,2025-11-04 13:38:31,active,"{""category"": ""bay"", ""source"": """", ""image_url"": null, ""province"": null}",
50580,Sunrise Rooftop,Nhà hàng buffet tại Nghe An,"Nghe An, Việt Nam",115,Nghệ An,dia_danh,18.917765420998325,105.43342966369744,,,,,,4.2,0,0,,,2025-11-04 13:38:34,2025-11-04 13:38:34,active,"{""category"": ""buffet"", ""source"": """", ""image_url"": null, ""province"": null}",
50600,Square Phu Quoc,Nhà hàng bar tại Ha Tinh,"Ha Tinh, Việt Nam",105,Hà Tĩnh,dia_danh,18.281546551639423,105.7187324934986,,,,,,4.2,0,0,,,2025-11-04 13:38:41,2025-11-04 13:38:41,active,"{""category"": ""bar"", ""source"": """", ""image_url"": null, ""province"": null}",
50437,Chua Thien,Thông tin về Chua Thien tại Quang Binh. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Quang Binh, Việt Nam",105,Hà Tĩnh,dia_danh,17.6800282173571,106.38127639464976,,,,,,4.1,10,0,,,2025-11-04 13:34:52,2025-11-04 14:18:45,active,"{""category"": ""lake"", ""source"": """", ""image_url"": null, ""province"": null}",
50361,Thiên Đường Bảo Sơn,"Tổ hợp du lịch, giải trí và ẩm thực lớn với khu vui chơi, công viên nước, safari và làng nghề truyền thống.","Km 5.8 Đường Lê Trọng Tấn, An Khánh, Hoài Đức, Hà Nội",79,Hà Nội,dia_danh,21.000787,105.733526,150000.0,08:00 - 18:00,,+84 985 892 277,http://baosonparadise.vn/,4.1,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Safari, thủy cung, làng nghề truyền thống","Nhà hàng, khu ẩm thực"
50412,Vietnam Terrace,Thông tin về Vietnam Terrace tại Hai Phong. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,20.804690759598568,107.10213668855144,,,,,,4.1,0,0,,,2025-11-04 13:34:44,2025-11-04 13:34:44,active,"{""category"": ""cafe"", ""source"": """", ""image_url"": null, ""province"": null}",
50457,Harbor Da Nang,Địa điểm harbor tại Da Nang,"Da Nang, Việt Nam",86,Đà Nẵng,dia_danh,16.324882669421434,107.74533174586072,,,,,,4.1,0,0,,,2025-11-04 13:36:15,2025-11-04 13:36:15,active,"{""category"": ""harbor"", ""source"": """", ""image_url"": null, ""province"": null}",
50530,Cung Thanh,Điểm đến island tại Hanoi,"Hanoi, Việt Nam",79,Hà Nội,dia_danh,21.129980692297515,105.4075636898709,,,,,,4.1,0,0,,,2025-11-04 13:38:18,2025-11-04 13:38:18,active,"{""category"": ""island"", ""source"": """", ""image_url"": null, ""province"": null}",
50547,Mountain Hai Phong,Địa điểm mountain tại Hai Phong,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,21.15167287768185,106.20624450737265,,,,,,4.1,0,0,,,2025-11-04 13:38:24,2025-11-04 13:38:24,active,"{""category"": ""mountain"", ""source"": """", ""image_url"": null, ""province"": null}",
50548,Star River Hai Phong,Khách sạn resort tại Hai Phong,"Hai Phong, Việt Nam",87,Hải Phòng,khach_san,20.551280746634284,107.01825780657352,200000.0,,,,,4.1,0,0,,,2025-11-04 13:38:24,2025-11-04 13:38:24,active,"{""category"": ""resort"", ""source"": """", ""image_url"": null, ""province"": null}",
50606,Hospital Ha Tinh,Địa điểm hospital tại Ha Tinh,"Ha Tinh, Việt Nam",105,Hà Tĩnh,dia_danh,18.70735027152786,106.20440791609946,,,,,,4.1,0,0,,,2025-11-04 13:38:42,2025-11-04 13:38:42,active,"{""category"": ""hospital"", ""source"": """", ""image_url"": null, ""province"": null}",
50337,Văn Miếu - Quốc Tử Giám,"Trường đại học đầu tiên của Việt Nam, nơi thờ Khổng Tử và các bậc hiền triết, là biểu tượng của tinh thần hiếu học.","58 Phố Quốc Tử Giám, Văn Miếu, Đống Đa, Hà Nội",79,Hà Nội,dia_danh,21.028906,105.834017,30000.0,07:30 - 17:30,,+84 24 3845 2928,,4.0,5,0,,,2025-11-02 18:33:16,2025-11-04 14:18:47,active,"Bia đá tiến sĩ, Khuê Văn Các","Hướng dẫn viên, bãi đỗ xe"
50368,Cao nguyên đá Đồng Văn,"Cao nguyên đá Đồng Văn là một công viên địa chất toàn cầu UNESCO, nổi bật với địa hình karst độc đáo được hình thành qua hàng triệu năm kiến tạo địa chất. Nơi đây không chỉ là một kỳ quan địa chất với những khối đá tai mèo sắc nhọn, hẻm vực sâu thăm thẳm, mà còn là mái nhà của 17 dân tộc thiểu số với bản sắc văn hóa đa dạng, phong phú. Khung cảnh hùng vĩ với những dãy núi đá trùng điệp, thung lũng sâu, những con đường đèo quanh co như Mã Pì Lèng huyền thoại, và dòng sông Nho Quế xanh biếc tạo nên một bức tranh thiên nhiên tuyệt đẹp, thu hút du khách khám phá và trải nghiệm.","Trải dài trên địa bàn 4 huyện Quản Bạ, Yên Minh, Đồng Văn và Mèo Vạc, tỉnh Hà Giang, Việt Nam. Trung tâm hành chính thường được nhắc đến là thị trấn Đồng Văn.",80,Hà Giang,dia_danh,23.2842,105.3533,,00:00,23:59,+842193858888,http://dongvangeopark.com/,4.0,5,0,,,2025-11-02 19:07:56,2025-11-04 14:18:45,active,Công viên địa chất toàn cầu UNESCO; Địa hình karst độc đáo (đá tai mèo); Hẻm vực sông Nho Quế; Đèo Mã Pì Lèng; Văn hóa đa dạng của 17 dân tộc thiểu số; Cột cờ Lũng Cú.,"Nhà nghỉ, homestay, khách sạn, nhà hàng, chợ phiên truyền thống, trạm xăng, dịch vụ cho thuê xe máy, hướng dẫn viên địa phương, trung tâm thông tin du lịch."
50418,Harbor Thanh Hoa,Thông tin về Harbor Thanh Hoa tại Thanh Hoa. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Thanh Hoa, Việt Nam",130,Thanh Hóa,dia_danh,20.129132702958216,105.38249087454533,,,,,,4.0,5,0,,,2025-11-04 13:34:46,2025-11-04 14:18:47,active,"{""category"": ""harbor"", ""source"": """", ""image_url"": null, ""province"": null}",
50438,San Van Dong Hoc Quang Binh,Thông tin về San Van Dong Hoc Quang Binh tại Quang Binh. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Quang Binh, Việt Nam",105,Hà Tĩnh,dia_danh,17.39244260676754,106.43632017233745,,,,,,4.0,5,0,,,2025-11-04 13:34:52,2025-11-04 14:18:45,active,"{""category"": ""island"", ""source"": """", ""image_url"": null, ""province"": null}",
50451,Nha Hat Lich Thua Thien Hue,Điểm đến cave tại Thua Thien Hue,"Thua Thien Hue, Việt Nam",131,Thừa Thiên Huế,dia_danh,16.63605747112118,108.0784345315643,80000.0,,,,,4.0,5,0,,,2025-11-04 13:36:13,2025-11-04 14:18:45,active,"{""category"": ""cave"", ""source"": """", ""image_url"": null, ""province"": null}",
50487,Vietnam Quan,Nhà hàng buffet tại Dong Nai,"Dong Nai, Việt Nam",102,Đồng Nai,dia_danh,10.654160714882527,106.4512568461658,,,,,,4.0,5,0,,,2025-11-04 13:36:25,2025-11-04 14:18:47,active,"{""category"": ""buffet"", ""source"": """", ""image_url"": null, ""province"": null}",
50488,Den Lich Dong Nai,Điểm đến shopping center tại Dong Nai,"Dong Nai, Việt Nam",102,Đồng Nai,mua_sam,11.268956946495488,106.96385974534674,,,,,,4.0,5,0,,,2025-11-04 13:36:25,2025-11-04 14:18:45,active,"{""category"": ""shopping_center"", ""source"": """", ""image_url"": null, ""province"": null}",
50495,Cho Hoc Tay Ninh,Điểm đến beach tại Tay Ninh,"Tay Ninh, Việt Nam",95,Bình Dương,dia_danh,11.114682169776495,106.0838704051397,,,,,,4.0,5,0,,,2025-11-04 13:36:27,2025-11-04 14:18:46,active,"{""category"": ""beach"", ""source"": """", ""image_url"": null, ""province"": null}",
50537,School Hai Phong,Địa điểm school tại Hai Phong,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,21.27791646958932,106.64228324876244,,,,,,4.0,5,0,,,2025-11-04 13:38:21,2025-11-04 14:18:45,active,"{""category"": ""school"", ""source"": """", ""image_url"": null, ""province"": null}",
50544,Ben Tu,Điểm đến beach tại Hai Phong,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,20.430969283686043,106.29276423701508,,,,,,4.0,5,0,,,2025-11-04 13:38:23,2025-11-04 14:18:46,active,"{""category"": ""beach"", ""source"": """", ""image_url"": null, ""province"": null}",
50553,Vịnh Hạ Long,Vịnh đẹp nhất thế giới với hàng nghìn đảo đá vôi,"Quang Ninh, Việt Nam",123,Quảng Ninh,dia_danh,20.9101,107.1839,,,,,,4.0,5,0,,,2025-11-04 13:38:26,2025-11-04 14:18:45,active,"{""category"": ""unesco"", ""source"": """", ""image_url"": null, ""province"": null}",
50584,University Nghe An,Địa điểm university tại Nghe An,"Nghe An, Việt Nam",115,Nghệ An,dia_danh,18.359496800615787,105.5537054014218,,,,,,4.0,5,0,,,2025-11-04 13:38:36,2025-11-04 14:18:46,active,"{""category"": ""university"", ""source"": """", ""image_url"": null, ""province"": null}",
50588,Plaza Nghe An,Địa điểm shopping mall tại Nghe An,"Nghe An, Việt Nam",115,Nghệ An,mua_sam,18.707631243578103,105.43124372458688,,,,,,4.0,5,0,,,2025-11-04 13:38:37,2025-11-04 14:18:45,active,"{""category"": ""shopping_mall"", ""source"": """", ""image_url"": null, ""province"": null}",
50595,Library Ha Tinh,Địa điểm library tại Ha Tinh,"Ha Tinh, Việt Nam",105,Hà Tĩnh,dia_danh,18.52793034833715,106.22925398811353,,,,,,4.0,5,0,,,2025-11-04 13:38:39,2025-11-04 14:18:45,active,"{""category"": ""library"", ""source"": """", ""image_url"": null, ""province"": null}",
50360,Công viên Thủ Lệ (Vườn Bách Thảo),Khu vực vườn thú và vui chơi giải trí quen thuộc của người dân Hà Nội.,"Đường Bưởi, Ngọc Khánh, Ba Đình, Hà Nội",79,Hà Nội,giai_tri,21.030588,105.801646,30000.0,08:00 - 18:00,,+84 24 3834 7226,,4.0,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Khu vực nuôi thú, trò chơi thiếu nhi","Quán nước, khu ẩm thực"
50376,Sông Nho Quế và Hẻm Tu Sản,"Hà Giang trước đây là một tỉnh thuộc vùng Đông Bắc Bộ và là tỉnh cực bắc của Việt Nam. Ngày 12 tháng 6 năm 2025, Quốc hội thông qua Nghị quyết số 202/2025/QH15 về việc sắp xếp đơn vị hành chính cấp tỉnh năm 2025, theo đó tỉnh được giải thể để sáp nhập vào tỉnh Tuyên Quang.
Hà Giang vốn có tên là Hà Dương (河楊), là một tỉnh cũ thuộc vùng Đông Bắc Bộ, Việt Nam.
Năm 2018, Hà Giang là đơn vị hành chính Việt Nam đông thứ 48 về số dân, xếp thứ 58 về Tổng sản phẩm trên địa bàn (GRDP) và là tỉnh nghèo tr","Sông Nho Quế và Hẻm Tu Sản, Hà Giang, Việt Nam",80,Hà Giang,dia_danh,22.8298,104.9784,,08:00,17:00,,,4.0,0,0,,,2025-11-02 19:19:18,2025-11-02 19:19:18,active,"Hà Giang trước đây là một tỉnh thuộc vùng Đông Bắc Bộ và là tỉnh cực bắc của Việt Nam. Ngày 12 tháng 6 năm 2025, Quốc hội thông qua Nghị quyết số 202/2025/QH15 về việc sắp xếp đơn vị hành chính cấp tỉ","Tham quan, chụp ảnh"
50377,Núi đôi Quản Bạ (Núi Cô Tiên),"Hà Giang trước đây là một tỉnh thuộc vùng Đông Bắc Bộ và là tỉnh cực bắc của Việt Nam. Ngày 12 tháng 6 năm 2025, Quốc hội thông qua Nghị quyết số 202/2025/QH15 về việc sắp xếp đơn vị hành chính cấp tỉnh năm 2025, theo đó tỉnh được giải thể để sáp nhập vào tỉnh Tuyên Quang.
Hà Giang vốn có tên là Hà Dương (河楊), là một tỉnh cũ thuộc vùng Đông Bắc Bộ, Việt Nam.
Năm 2018, Hà Giang là đơn vị hành chính Việt Nam đông thứ 48 về số dân, xếp thứ 58 về Tổng sản phẩm trên địa bàn (GRDP) và là tỉnh nghèo tr","Núi đôi Quản Bạ (Núi Cô Tiên), Hà Giang, Việt Nam",80,Hà Giang,dia_danh,22.8298,104.9784,,08:00,17:00,,,4.0,0,0,,,2025-11-02 19:19:20,2025-11-02 19:19:20,active,"Hà Giang trước đây là một tỉnh thuộc vùng Đông Bắc Bộ và là tỉnh cực bắc của Việt Nam. Ngày 12 tháng 6 năm 2025, Quốc hội thông qua Nghị quyết số 202/2025/QH15 về việc sắp xếp đơn vị hành chính cấp tỉ","Tham quan, chụp ảnh"
50378,Ruộng bậc thang Hoàng Su Phì,Ruộng bậc thang là một hình thức canh tác của nhiều vùng đất dốc trên thế giới.,"Ruộng bậc thang Hoàng Su Phì, Hà Giang, Việt Nam",80,Hà Giang,dia_danh,22.8298,104.9784,,08:00,17:00,,,4.0,0,0,,,2025-11-02 19:19:22,2025-11-02 19:19:22,active,Ruộng bậc thang là một hình thức canh tác của nhiều vùng đất dốc trên thế giới.,"Tham quan, chụp ảnh"
50379,Thung lũng Sủng Là (Nhà của Pao),"Đồng Văn là một huyện miền núi cũ thuộc tỉnh Hà Giang cũ, đồng thời là huyện cực bắc của Việt Nam.","Thung lũng Sủng Là (Nhà của Pao), Hà Giang, Việt Nam",80,Hà Giang,dia_danh,22.8298,104.9784,,08:00,17:00,,,4.0,0,0,,,2025-11-02 19:19:24,2025-11-02 19:19:24,active,"Đồng Văn là một huyện miền núi cũ thuộc tỉnh Hà Giang cũ, đồng thời là huyện cực bắc của Việt Nam.","Tham quan, chụp ảnh"
