name,city,rating,types,latitude,longitude,description,category,price_level,amenities,room_types,cuisine_type,specialties,food_type,historical_period,special_features,entertainment_type,wellness_type,family_type,created_at
Pagoda Long An,Long An,5.0,['pagoda'],11.042421039191016,106.37831788519055,Địa điểm pagoda tại Long An,pagoda,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bar River,Quy Nhon,2.7,['pub'],14.255061037597734,109.26650318723672,Địa điểm pub tại Quy Nhon,pub,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Taxi Stand Ben Tre,Ben Tre,3.0,['taxi_stand'],10.660972564750889,106.53939024208512,Địa điểm taxi stand tại Ben Tre,taxi_stand,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Atm Dong Thap,Dong Thap,4.5,['atm'],10.447492938805812,105.23452636659538,Địa điểm atm tại Dong Thap,atm,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Taxi Stand Dak Lak,Dak Lak,4.4,['taxi_stand'],13.143870009714684,107.83439847140068,Địa điểm taxi stand tại Dak Lak,taxi_stand,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Museum Thua Thien Hue,Thua Thien Hue,4.2,['museum'],16.695998692640586,107.5382614789546,Địa điểm museum tại Thua Thien Hue,museum,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Train Station Dak Nong,Dak Nong,3.0,['train_station'],12.3261098190992,107.3127568097225,Địa điểm train station tại Dak Nong,train_station,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Harbor Dak Nong,Dak Nong,3.2,['harbor'],11.802496749329777,107.51085396002271,Địa điểm harbor tại Dak Nong,harbor,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Golf Course Quang Ngai,Quang Ngai,3.1,['golf_course'],14.62283761035786,108.80051495937953,Địa điểm golf course tại Quang Ngai,golf_course,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Car Wash Ninh Thuan,Ninh Thuan,5.0,['car_wash'],11.740800237019238,109.43396745368877,Địa điểm car wash tại Ninh Thuan,car_wash,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cafe Ocean,Binh Dinh,4.2,['cafe'],12.759679119538305,108.69081746135844,Địa điểm cafe tại Binh Dinh,cafe,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Theater Ba Vi,Ba Vi,3.1,['theater'],21.209620841771976,105.47083058334417,Địa điểm theater tại Ba Vi,theater,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Fire Station Phu Yen,Phu Yen,4.5,['fire_station'],12.980577736134562,108.6548833069852,Địa điểm fire station tại Phu Yen,fire_station,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Museum Kon Tum,Kon Tum,4.0,['museum'],14.52656214764684,107.6647763648516,Địa điểm museum tại Kon Tum,museum,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Taxi Stand Con Dao,Con Dao,3.3,['taxi_stand'],8.352497775162778,107.04789855653593,Địa điểm taxi stand tại Con Dao,taxi_stand,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Parking Lot Ho Chi Minh City,Ho Chi Minh City,3.3,['parking_lot'],10.42238328005596,107.07535513819344,Địa điểm parking lot tại Ho Chi Minh City,parking_lot,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bay Dak Lak,Dak Lak,4.0,['bay'],12.246305408818316,107.81637187202196,Địa điểm bay tại Dak Lak,bay,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Harbor Ben Tre,Ben Tre,3.9,['harbor'],9.993948229315972,106.07992385495604,Địa điểm harbor tại Ben Tre,harbor,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Botanical Garden Hoi An,Hoi An,4.4,['botanical_garden'],16.1047375487994,108.222743275757,Địa điểm botanical garden tại Hoi An,botanical_garden,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Garden Ha Tinh,Ha Tinh,3.2,['garden'],18.59990963975524,105.63483464414772,Địa điểm garden tại Ha Tinh,garden,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Spa Relax,Tam Dao,4.8,['massage'],21.914602676063037,105.62481524077285,Địa điểm massage tại Tam Dao,massage,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
School Nha Trang,Nha Trang,3.7,['school'],12.601530438896642,109.55488275754183,Địa điểm school tại Nha Trang,school,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bar Sunrise,Dong Nai,3.0,['cafe'],10.505255186668188,106.45684269908796,Địa điểm cafe tại Dong Nai,cafe,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Fire Station Tay Ninh,Tay Ninh,2.8,['fire_station'],11.66746003758522,106.45853786315648,Địa điểm fire station tại Tay Ninh,fire_station,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Train Station Da Lat,Da Lat,3.2,['train_station'],12.406588660321692,108.62612065696776,Địa điểm train station tại Da Lat,train_station,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Theater Long An,Long An,4.5,['theater'],10.520755359651009,106.63120625951376,Địa điểm theater tại Long An,theater,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Shopping Center Vung Tau,Vung Tau,3.5,['market'],9.90373134999985,107.45551836735017,Địa điểm market tại Vung Tau,market,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Park Hai Phong,Hai Phong,4.0,['park'],20.43875556104213,106.44948461069605,Địa điểm park tại Hai Phong,park,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Spa Zen,Quang Ngai,3.1,['spa'],14.9399386401395,108.53244367068744,Địa điểm spa tại Quang Ngai,spa,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Gas Station Tay Ninh,Tay Ninh,3.5,['gas_station'],10.957919516071575,105.98080706202008,Địa điểm gas station tại Tay Ninh,gas_station,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Monument Tam Dao,Tam Dao,4.9,['monument'],21.754977950991456,105.24133368288474,Địa điểm monument tại Tam Dao,monument,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Port Binh Thuan,Binh Thuan,3.1,['port'],11.289257719757728,108.47116447443118,Địa điểm port tại Binh Thuan,port,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Garden Binh Duong,Binh Duong,4.1,['garden'],11.486803197202036,106.81558784796852,Địa điểm garden tại Binh Duong,garden,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cafe River,Phan Thiet,3.9,['pub'],10.93733028046074,108.65975624838993,Địa điểm pub tại Phan Thiet,pub,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Supermarket Dong Nai,Dong Nai,3.5,['supermarket'],10.713758476553542,106.43552953641344,Địa điểm supermarket tại Dong Nai,supermarket,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Fitness Khanh Hoa,Khanh Hoa,4.1,['fitness'],12.733928772093954,109.22836406782298,Địa điểm fitness tại Khanh Hoa,fitness,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Waterfall Ben Tre,Ben Tre,4.1,['waterfall'],9.803675181667035,106.51543216993474,Địa điểm waterfall tại Ben Tre,waterfall,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bar River,Dong Thap,4.8,['bar'],10.736695520010626,105.94622871565402,Địa điểm bar tại Dong Thap,bar,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Beach Gia Lai,Gia Lai,4.6,['beach'],13.992213706746243,107.93310029741608,Địa điểm beach tại Gia Lai,beach,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Convenience Store Cat Ba,Cat Ba,3.9,['convenience_store'],20.599581231300814,107.00218291529642,Địa điểm convenience store tại Cat Ba,convenience_store,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bar Sunrise,Hau Giang,3.0,['pub'],9.721810825829992,105.36442216601831,Địa điểm pub tại Hau Giang,pub,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Airport Vung Tau,Vung Tau,3.6,['airport'],10.530777188240542,106.64371034676824,Địa điểm airport tại Vung Tau,airport,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Church Cat Ba,Cat Ba,3.6,['church'],21.12957140795732,107.31847078681888,Địa điểm church tại Cat Ba,church,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Golf Course Quang Tri,Quang Tri,5.0,['golf_course'],17.144746966178214,107.34066493211417,Địa điểm golf course tại Quang Tri,golf_course,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Beach Binh Thuan,Binh Thuan,3.2,['beach'],11.333507347263655,107.81860477403674,Địa điểm beach tại Binh Thuan,beach,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Club Binh Dinh,Binh Dinh,3.0,['club'],13.574819397899857,109.26224181636556,Địa điểm club tại Binh Dinh,club,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Park Vinh Long,Vinh Long,3.8,['park'],9.767271530939214,105.6344982048094,Địa điểm park tại Vinh Long,park,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Peninsula Kien Giang,Kien Giang,3.1,['peninsula'],9.340111904280777,104.7961126441177,Địa điểm peninsula tại Kien Giang,peninsula,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Monument Tien Giang,Tien Giang,3.1,['monument'],10.5365480576283,106.4542184365734,Địa điểm monument tại Tien Giang,monument,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Theater Da Nang,Da Nang,4.9,['theater'],15.78537454295943,107.88489025663242,Địa điểm theater tại Da Nang,theater,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Memorial Nghe An,Nghe An,3.2,['memorial'],18.237569994112928,106.06628448637105,Địa điểm memorial tại Nghe An,memorial,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Convenience Store Gia Lai,Gia Lai,2.8,['convenience_store'],13.839919693030472,108.46592696104229,Địa điểm convenience store tại Gia Lai,convenience_store,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Taxi Stand Thua Thien Hue,Thua Thien Hue,3.2,['taxi_stand'],15.991603622565014,107.5843151825451,Địa điểm taxi stand tại Thua Thien Hue,taxi_stand,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Beach Khanh Hoa,Khanh Hoa,3.6,['beach'],12.328034715606265,109.30722538190471,Địa điểm beach tại Khanh Hoa,beach,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cafe Sunset,Vung Tau,4.2,['pub'],9.867871148426,106.65710557900265,Địa điểm pub tại Vung Tau,pub,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bar Sunset,Ha Tinh,2.9,['cafe'],18.77656314415933,105.943850121583,Địa điểm cafe tại Ha Tinh,cafe,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Marina Vinh Long,Vinh Long,3.8,['marina'],10.270648700898848,106.2864355692004,Địa điểm marina tại Vinh Long,marina,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Club Long An,Long An,4.3,['club'],10.547272525557789,106.87366455456616,Địa điểm club tại Long An,club,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bay Tam Dao,Tam Dao,2.5,['bay'],21.913640249359773,105.2034155203874,Địa điểm bay tại Tam Dao,bay,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Temple Phu Yen,Phu Yen,3.7,['temple'],13.476639065660176,109.59118126727924,Địa điểm temple tại Phu Yen,temple,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Spa Luxury,Sapa,2.9,['spa'],22.721031729745807,103.530279166301,Địa điểm spa tại Sapa,spa,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Memorial Dak Nong,Dak Nong,3.9,['memorial'],12.30757781584481,107.87406243795972,Địa điểm memorial tại Dak Nong,memorial,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Island Tam Dao,Tam Dao,4.2,['island'],21.562410900810477,105.42826674058122,Địa điểm island tại Tam Dao,island,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Marina Ha Tinh,Ha Tinh,4.5,['marina'],18.323801742626085,106.28305424286938,Địa điểm marina tại Ha Tinh,marina,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Waterfall Quy Nhon,Quy Nhon,2.9,['waterfall'],14.129426782704671,109.0790703292841,Địa điểm waterfall tại Quy Nhon,waterfall,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Memorial Kien Giang,Kien Giang,3.2,['memorial'],10.236469972735463,105.1642762971232,Địa điểm memorial tại Kien Giang,memorial,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Museum Ha Long,Ha Long,4.5,['museum'],21.34604126516359,107.18679243077035,Địa điểm museum tại Ha Long,museum,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Island Hau Giang,Hau Giang,4.8,['island'],9.63325169474872,105.11941647456612,Địa điểm island tại Hau Giang,island,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cave Ha Tinh,Ha Tinh,3.6,['cave'],18.51817671290916,106.1904432042481,Địa điểm cave tại Ha Tinh,cave,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Hospital Binh Dinh,Binh Dinh,2.6,['hospital'],12.741893352059106,109.24476621369908,Địa điểm hospital tại Binh Dinh,hospital,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cave Quang Ngai,Quang Ngai,3.3,['cave'],14.62143941837162,109.14284350609628,Địa điểm cave tại Quang Ngai,cave,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Aquarium Can Tho,Can Tho,3.2,['aquarium'],10.020169923466897,105.39135224586649,Địa điểm aquarium tại Can Tho,aquarium,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Shopping Center Kien Giang,Kien Giang,4.6,['shopping_mall'],10.06573717916904,104.92482921438548,Địa điểm shopping mall tại Kien Giang,shopping_mall,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bay Long An,Long An,3.8,['bay'],10.631583872902722,107.10377819108616,Địa điểm bay tại Long An,bay,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Museum Ha Long,Ha Long,3.8,['museum'],20.700468156534548,106.69069201752151,Địa điểm museum tại Ha Long,museum,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Garden Vung Tau,Vung Tau,4.4,['garden'],10.282952778033003,107.42051107110736,Địa điểm garden tại Vung Tau,garden,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Stadium Can Tho,Can Tho,4.7,['stadium'],9.581094498757752,105.86104365873612,Địa điểm stadium tại Can Tho,stadium,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Police Station Thua Thien Hue,Thua Thien Hue,4.7,['police_station'],16.149618027977464,107.41183269758224,Địa điểm police station tại Thua Thien Hue,police_station,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Police Station Can Tho,Can Tho,4.8,['police_station'],9.620454096761344,105.4230502779446,Địa điểm police station tại Can Tho,police_station,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Shrine Kien Giang,Kien Giang,4.1,['shrine'],9.85570611185456,104.87016219899394,Địa điểm shrine tại Kien Giang,shrine,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Museum Nha Trang,Nha Trang,3.5,['museum'],12.049238858095434,109.57661658132922,Địa điểm museum tại Nha Trang,museum,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cave Soc Trang,Soc Trang,5.0,['cave'],9.104014480038003,105.80268189684918,Địa điểm cave tại Soc Trang,cave,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Golf Course Dak Lak,Dak Lak,4.3,['golf_course'],12.56379409155191,107.77372411915364,Địa điểm golf course tại Dak Lak,golf_course,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bus Station Dak Nong,Dak Nong,4.0,['bus_station'],11.775006555522856,107.97741333232226,Địa điểm bus station tại Dak Nong,bus_station,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Zoo Binh Duong,Binh Duong,3.1,['zoo'],10.851312383566496,106.75147696637966,Địa điểm zoo tại Binh Duong,zoo,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Taxi Stand Tay Ninh,Tay Ninh,4.5,['taxi_stand'],11.80561348330068,105.77197331581948,Địa điểm taxi stand tại Tay Ninh,taxi_stand,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Aquarium Da Nang,Da Nang,3.7,['aquarium'],16.086088323682816,108.1840711754603,Địa điểm aquarium tại Da Nang,aquarium,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Beach Tam Dao,Tam Dao,3.7,['beach'],21.0138797559184,105.61409583350648,Địa điểm beach tại Tam Dao,beach,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Library Dong Nai,Dong Nai,3.3,['library'],11.248397615148328,107.18843515906993,Địa điểm library tại Dong Nai,library,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Library Bac Lieu,Bac Lieu,4.7,['library'],9.081402774326158,105.51418128897583,Địa điểm library tại Bac Lieu,library,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Spa Zen,Quang Nam,4.1,['spa'],15.67801213261695,107.90478380349658,Địa điểm spa tại Quang Nam,spa,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Hospital Quang Binh,Quang Binh,3.0,['hospital'],17.510381594277703,106.62697097363628,Địa điểm hospital tại Quang Binh,hospital,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Tennis Court Gia Lai,Gia Lai,4.5,['tennis_court'],14.20223275617118,107.80688468260324,Địa điểm tennis court tại Gia Lai,tennis_court,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Police Station Ha Long,Ha Long,4.0,['police_station'],20.985485652811857,107.2778757490726,Địa điểm police station tại Ha Long,police_station,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Temple Thua Thien Hue,Thua Thien Hue,4.7,['temple'],16.461575714759206,107.58203530536834,Địa điểm temple tại Thua Thien Hue,temple,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Mosque Kien Giang,Kien Giang,3.4,['mosque'],9.95887691772973,105.35553754939728,Địa điểm mosque tại Kien Giang,mosque,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bus Station Da Nang,Da Nang,4.7,['bus_station'],16.085316066981292,107.96583247006642,Địa điểm bus station tại Da Nang,bus_station,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Taxi Stand Dong Thap,Dong Thap,2.8,['taxi_stand'],10.722375512332428,105.89569995562488,Địa điểm taxi stand tại Dong Thap,taxi_stand,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Airport Ha Long,Ha Long,3.8,['airport'],20.91448134516443,106.95983133800507,Địa điểm airport tại Ha Long,airport,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
University Quang Binh,Quang Binh,4.0,['university'],17.254950394021424,106.24138682922808,Địa điểm university tại Quang Binh,university,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Shrine Ca Mau,Ca Mau,4.5,['shrine'],9.103241360688877,105.02715428185712,Địa điểm shrine tại Ca Mau,shrine,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Police Station Ha Long,Ha Long,3.9,['police_station'],20.64732462117576,107.17387153983618,Địa điểm police station tại Ha Long,police_station,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Waterfall Ba Vi,Ba Vi,4.7,['waterfall'],21.57992185614214,105.52331532128662,Địa điểm waterfall tại Ba Vi,waterfall,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
University Ha Tinh,Ha Tinh,4.4,['university'],18.16948593526532,105.53228396082396,Địa điểm university tại Ha Tinh,university,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Beach Quy Nhon,Quy Nhon,2.9,['beach'],14.231853910172504,109.2273283234885,Địa điểm beach tại Quy Nhon,beach,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Island Mui Ne,Mui Ne,4.9,['island'],10.9679413191653,108.65090533312951,Địa điểm island tại Mui Ne,island,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Port Hau Giang,Hau Giang,4.9,['port'],9.482405840443857,105.852623418625,Địa điểm port tại Hau Giang,port,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Church Dak Lak,Dak Lak,3.7,['church'],12.325095853496476,108.27970841474918,Địa điểm church tại Dak Lak,church,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Pagoda Ninh Thuan,Ninh Thuan,3.5,['pagoda'],11.58348500059503,109.10799823614848,Địa điểm pagoda tại Ninh Thuan,pagoda,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Museum Tien Giang,Tien Giang,4.1,['museum'],10.02883420907656,106.00310065922928,Địa điểm museum tại Tien Giang,museum,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Parking Lot Binh Phuoc,Binh Phuoc,4.3,['parking_lot'],11.855356216988502,106.4815336774396,Địa điểm parking lot tại Binh Phuoc,parking_lot,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Library Binh Dinh,Binh Dinh,3.1,['library'],13.029209122021877,109.58283427101593,Địa điểm library tại Binh Dinh,library,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Atm Dong Thap,Dong Thap,4.4,['atm'],10.602799907206384,105.27710091449744,Địa điểm atm tại Dong Thap,atm,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Car Wash Tien Giang,Tien Giang,4.6,['car_wash'],10.133414659672503,106.75653815185332,Địa điểm car wash tại Tien Giang,car_wash,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Club Cat Ba,Cat Ba,2.7,['club'],20.32141842783313,107.17573312503688,Địa điểm club tại Cat Ba,club,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Peninsula Binh Duong,Binh Duong,4.3,['peninsula'],11.087611785003332,106.01833129948078,Địa điểm peninsula tại Binh Duong,peninsula,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bank Phan Thiet,Phan Thiet,3.2,['bank'],10.766689897699836,108.17183022585148,Địa điểm bank tại Phan Thiet,bank,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Golf Course Phu Quoc,Phu Quoc,4.9,['golf_course'],10.569789829309611,104.44997914712216,Địa điểm golf course tại Phu Quoc,golf_course,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Church Thua Thien Hue,Thua Thien Hue,5.0,['church'],15.989137737530712,107.5394327512096,Địa điểm church tại Thua Thien Hue,church,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Shrine Ca Mau,Ca Mau,4.1,['shrine'],8.745599176559242,105.15251104787754,Địa điểm shrine tại Ca Mau,shrine,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Fire Station Dak Nong,Dak Nong,4.7,['fire_station'],11.861629594806764,107.61964894337514,Địa điểm fire station tại Dak Nong,fire_station,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Park Quang Tri,Quang Tri,3.1,['park'],17.033514123105487,107.6822212923976,Địa điểm park tại Quang Tri,park,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cave Tay Ninh,Tay Ninh,2.9,['cave'],11.777556959949862,106.49627089890316,Địa điểm cave tại Tay Ninh,cave,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bay Ben Tre,Ben Tre,3.8,['bay'],10.017844960499628,106.71153408026464,Địa điểm bay tại Ben Tre,bay,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Airport Tam Dao,Tam Dao,4.1,['airport'],21.310911598325248,106.08250573105396,Địa điểm airport tại Tam Dao,airport,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
School Vung Tau,Vung Tau,3.8,['school'],10.828110160035076,106.83045366618106,Địa điểm school tại Vung Tau,school,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Clinic Tam Dao,Tam Dao,3.3,['clinic'],21.891624011796864,105.6172389476322,Địa điểm clinic tại Tam Dao,clinic,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Garden Binh Duong,Binh Duong,2.6,['garden'],11.747732726243628,106.57177878907484,Địa điểm garden tại Binh Duong,garden,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Shrine Thua Thien Hue,Thua Thien Hue,5.0,['shrine'],16.941884991469124,107.2464429044482,Địa điểm shrine tại Thua Thien Hue,shrine,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
University Vinh Long,Vinh Long,2.9,['university'],9.782884464956885,106.17459249516192,Địa điểm university tại Vinh Long,university,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Golf Course Con Dao,Con Dao,3.0,['golf_course'],8.411902682196306,106.24389810939653,Địa điểm golf course tại Con Dao,golf_course,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Parking Lot Sapa,Sapa,4.3,['parking_lot'],22.06207959829399,103.57795048164712,Địa điểm parking lot tại Sapa,parking_lot,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Island Tay Ninh,Tay Ninh,2.6,['island'],11.0681089898462,105.6688771061269,Địa điểm island tại Tay Ninh,island,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Waterfall Ben Tre,Ben Tre,3.0,['waterfall'],10.61308987207918,106.13771679748474,Địa điểm waterfall tại Ben Tre,waterfall,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Train Station Khanh Hoa,Khanh Hoa,2.6,['train_station'],11.9216576820932,109.02647202945886,Địa điểm train station tại Khanh Hoa,train_station,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Taxi Stand Binh Thuan,Binh Thuan,3.5,['taxi_stand'],10.896572966478653,107.98995713492636,Địa điểm taxi stand tại Binh Thuan,taxi_stand,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bus Station Dong Thap,Dong Thap,4.2,['bus_station'],10.95531209401146,106.05530246628024,Địa điểm bus station tại Dong Thap,bus_station,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Gas Station Quang Tri,Quang Tri,3.0,['gas_station'],16.580618237373297,107.54930711693471,Địa điểm gas station tại Quang Tri,gas_station,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Waterfall Phu Yen,Phu Yen,3.6,['waterfall'],13.22756904069489,108.9565801557634,Địa điểm waterfall tại Phu Yen,waterfall,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Port Quang Ngai,Quang Ngai,3.3,['port'],15.171195500861046,108.7190938973132,Địa điểm port tại Quang Ngai,port,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Library Phan Thiet,Phan Thiet,3.4,['library'],10.81619122524966,108.67941336169034,Địa điểm library tại Phan Thiet,library,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Cafe Sunset,Ca Mau,4.0,['cafe'],9.518141477783084,104.77309014781753,Địa điểm cafe tại Ca Mau,cafe,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bank Quy Nhon,Quy Nhon,2.9,['bank'],13.554991858575974,109.15558951470598,Địa điểm bank tại Quy Nhon,bank,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Shopping Center Dak Nong,Dak Nong,4.7,['shopping_mall'],11.776529813014388,107.19814033357396,Địa điểm shopping mall tại Dak Nong,shopping_mall,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
University Dong Thap,Dong Thap,2.8,['university'],10.13087544535734,105.7229965003635,Địa điểm university tại Dong Thap,university,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Peninsula Tay Ninh,Tay Ninh,4.1,['peninsula'],11.281936448091871,106.15735687794088,Địa điểm peninsula tại Tay Ninh,peninsula,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
