name,city,rating,types,latitude,longitude,description,category,price_level,historical_period,special_features,amenities,room_types,cuisine_type,specialties,food_type,entertainment_type,wellness_type,family_type,created_at
Điểm Biểu tượng ngắm Vịnh Cát Bà,Cat Ba,4.7,"['attraction', 'tourism']",20.725542200398316,107.05191139999998,"Núi Ngọc, Hải Phòng, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:45.083205
Second canon,Cat Ba,4.8,"['attraction', 'tourism']",20.722693900398234,107.0547474,"U-Tunnel, Hải Phòng, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:45.083208
Third canon,Cat Ba,4.9,"['attraction', 'tourism']",20.722058700398218,107.0548848,"U-Tunnel, Hải Phòng, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:45.083211
Vườn quốc gia Hoàng Liên,Sapa,4.0,"['attraction', 'tourism']",22.248390550404903,103.87479485600701,"Lào Cai Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527462
Cát Cát,Sapa,4.1,"['attraction', 'tourism']",22.328532700403425,103.8346798,"Sa Pa, Lào Cai Province 31786, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527480
SaPa Museum,Sapa,4.2,"['attraction', 'tourism']",22.335457400403296,103.8399877,"103, Xuân Viên, Sa Pa, Lào Cai Province 31786, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527484
Alpine Coaster Sapa,Sapa,4.3,"['attraction', 'tourism']",22.322562900403543,103.8665646,"Tổ 3, Cầu Mây, Sa Pa, Lào Cai Province 33000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527488
Cat Cat Bridge,Sapa,4.4,"['attraction', 'tourism']",22.328643300403428,103.82932619999998,"Sa Pa, Lào Cai Province 31786, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527491
Cầu Treo Lao Chải San II,Sapa,4.5,"['attraction', 'tourism']",22.31011830040378,103.86081959999999,"Suspension Bridge, Lào Cai Province 31786, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527497
Carved Boulder Museum,Sapa,4.6,"['attraction', 'tourism']",22.304065000403895,103.8985557,"Đường tỉnh 152, Cầu Mây, Tả Van, Lào Cai Province 33000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527500
Tu viện Tả Phìn,Sapa,4.7,"['attraction', 'tourism']",22.37750090040243,103.851555,"ĐH.100, Tả Phìn, Lào Cai Province 33000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527507
"View Point, altitute 2143m",Sapa,4.8,"['attraction', 'tourism']",22.33434210040331,103.7797703,"Đường đi từ Trạm Tôn đến Đỉnh núi Fansipan, Lào Cai Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527526
Trạm Tôn,Sapa,4.9,"['attraction', 'tourism']",22.355070200402903,103.76071989999998,"National Route 4D, Lai Châu Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527531
Waterfall Quy Khach,Sapa,4.0,"['attraction', 'tourism']",22.294095800404087,103.9053772,"Cầu Mây, Lào Cai Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527534
Christopher little waterfall,Sapa,4.1,"['attraction', 'tourism']",22.339782800403203,103.8072139,"Đường Sín Chải, Hoàng Liên, Lào Cai Province 31786, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527536
Fansipan Legend,Sapa,4.2,"['attraction', 'tourism']",22.33708290040326,103.8243335,"Đường Lý Thị Dủ, Hoàng Liên, Lào Cai Province 31786, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527539
rice hike,Sapa,4.3,"['attraction', 'tourism']",22.328725000403427,103.84177859999998,"Đường Violet, Sa Pa, Lào Cai Province 31786, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527542
Waterfall,Sapa,4.4,"['attraction', 'tourism']",22.360849500402782,103.7902987,"O Quy Ho Road, Phan Si Păng, Sa Pa, Lào Cai Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527544
Heaven's Gate,Sapa,4.5,"['attraction', 'tourism']",22.352974000402938,103.7648085,"National Route 4D, Lai Châu Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527547
Su Pan,Sapa,4.6,"['attraction', 'tourism']",22.29365650040409,103.9228442,"Mường Hoa, Lào Cai Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527549
Hau Thao,Sapa,4.7,"['attraction', 'tourism']",22.304145200403905,103.9078262,"Lào Cai Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527552
Hâu Thào village,Sapa,4.8,"['attraction', 'tourism']",22.31792600040364,103.89619099999999,"VMM trail 2015, Sa Pa, Lào Cai Province 33000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527555
Heaven Sapa,Sapa,4.9,"['attraction', 'tourism']",22.330309000403393,103.83596789999999,"Cat Cat Road, Sa Pa, Lào Cai Province 31786, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:13:56.527559
Khu Du lịch sinh Thái Tràng An,Ninh Binh,4.0,"['attraction', 'tourism']",20.253040300383045,105.91817959999999,"Tràng An, Hoa Lư, Ninh Bình Province 43000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.088917
Tam Cốc -Bích Động,Ninh Binh,4.1,"['attraction', 'tourism']",20.216342600381605,105.937457,"Thai Vi, Ninh Hải, Ninh Bình Province 43000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.088939
Trang An Boat Tours,Ninh Binh,4.2,"['attraction', 'tourism']",20.25276010038305,105.9184663,"Tràng An, Hoa Lư, Ninh Bình Province 08251, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.088948
Hang Múa;Lying Dragon Top,Ninh Binh,4.3,"['attraction', 'tourism']",20.22954740038212,105.9342536,"Lotus lake boardwalk, Hoa Lư, Ninh Bình Province 08213, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.088956
Cố đô Hoa Lư,Ninh Binh,4.4,"['attraction', 'tourism']",20.283483000384216,105.89959860108307,"Tràng An, Hoa Lư, Ninh Bình Province 08000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.088963
Cho Dong Van,Ninh Binh,4.5,"['attraction', 'tourism']",20.213876500381513,105.93461010000001,"Thai Vi, Ninh Hải, Ninh Bình Province 08213, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.088971
Công viên Thúy Sơn,Ninh Binh,4.6,"['attraction', 'tourism']",20.259860800383315,105.98185673348216,"Đông Thành, Hoa Lư, Ninh Bình Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.088979
Đền vua Lê Đại Hành,Ninh Binh,4.7,"['attraction', 'tourism']",20.28618330038432,105.90572835036005,"Quốc lộ 38B, Trường Yên, Ninh Bình Province 40000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.088988
Đền vua Đinh Tiên Hoàng,Ninh Binh,4.8,"['attraction', 'tourism']",20.284612350384258,105.90513733859926,"Quốc lộ 38B, Trường Yên, Ninh Bình Province 40000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089001
công viên khủng long,Ninh Binh,4.9,"['attraction', 'tourism']",20.28018420038409,105.97437571394599,"Ninh Khánh, Hoa Lư, Ninh Bình Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089009
Công viên văn hóa Tràng An,Ninh Binh,4.0,"['attraction', 'tourism']",20.262470350383417,105.95622847390158,"Ninh Nhất, Ninh Bình Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089017
Tượng Đinh Tiên Hoàng,Ninh Binh,4.1,"['attraction', 'tourism']",20.270192700383706,105.96824533340518,"Đường Đinh Điền, Tân Thành, Hoa Lư, Ninh Bình Province 08212, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089029
Thien Huống Dong,Ninh Binh,4.2,"['attraction', 'tourism']",20.223649700381895,105.9314843,"Thai Vi, Ninh Hải, Ninh Bình Province 08213, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089038
Đàn Kính Thiên Tràng An,Ninh Binh,4.3,"['attraction', 'tourism']",20.2595953503833,105.87728943654436,"Quốc lộ 38B, Ninh Bình Province 08251, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089046
Hai Grotto,Ninh Binh,4.4,"['attraction', 'tourism']",20.23184450038222,105.919627,"Lotus lake boardwalk, Hoa Lư, Ninh Bình Province 08213, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089054
Ba Grotto,Ninh Binh,4.5,"['attraction', 'tourism']",20.233869800382305,105.9186668,"Lotus lake boardwalk, Hoa Lư, Ninh Bình Province 08213, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089062
Ca Grotto,Ninh Binh,4.6,"['attraction', 'tourism']",20.22808030038207,105.9309077,"Lotus lake boardwalk, Hoa Lư, Ninh Bình Province 08213, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089070
Lotte Cinema Ninh Bình,Ninh Binh,4.7,"['attraction', 'tourism']",20.242118500382627,106.00406159999999,"Đường Trần Nhân Tông, Ninh Sơn, Hoa Lư, Ninh Bình Province 08214, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089079
Exit of Mermaid Cave,Ninh Binh,4.8,"['attraction', 'tourism']",20.218636800381702,105.8898298,"Quốc lộ 12B, Tam Điệp, Ninh Bình Province 08213, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089090
Chùa Nhất Trụ,Ninh Binh,4.9,"['attraction', 'tourism']",20.287849200384375,105.9074323,"Quốc lộ 38B, Trường Yên, Ninh Bình Province 40000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:08.089098
Vườn quốc gia Tam Đảo,Tam Dao,4.0,"['attraction', 'tourism']",21.52888330041,105.58482648948558,"Xã Sơn Dương, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:24.729213
Công viên Tam Đảo,Tam Dao,4.1,"['attraction', 'tourism']",21.455916200409693,105.64457742896771,"Tam Đảo, Phú Thọ Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:24.729221
Thắc Bạc,Tam Dao,4.2,"['attraction', 'tourism']",21.476077200409787,105.60333189999999,"Đường lên Thiên Viện Trúc Lâm Tây Thiên, Đại Đình, Phú Thọ Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:24.729224
peak near tower,Tam Dao,4.3,"['attraction', 'tourism']",21.464979000409738,105.64566919999999,"Quốc lộ 2B, Tam Đảo, Phú Thọ Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:24.729226
Attraction Tam Dao 5,Tam Dao,4.4,"['attraction', 'tourism']",21.464627500409733,105.57634157818322,"Phú Thọ Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:24.729229
Attraction Tam Dao 6,Tam Dao,4.5,"['attraction', 'tourism']",21.455087950409688,105.64395862534556,"Phú Thọ Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:24.729236
Attraction Tam Dao 7,Tam Dao,4.6,"['attraction', 'tourism']",21.448758900409665,105.6307544,"Tam Đảo, Phú Thọ Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:24.729239
Attraction Tam Dao 8,Tam Dao,4.7,"['attraction', 'tourism']",21.455154400409686,105.644028,"Tam Đảo, Phú Thọ Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:24.729241
Công viên Địa chất,Nghe An,4.0,"['attraction', 'tourism']",18.666413450289884,105.66932204772512,"Cửa Nam, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103246
Công viên Tam Giác,Nghe An,4.1,"['attraction', 'tourism']",18.67733255029072,105.67488011747311,"Lê Lợi, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103255
Công viên Nguyễn Tất Thành,Nghe An,4.2,"['attraction', 'tourism']",18.67278525029037,105.6954473545074,"Trường Thi, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103259
Công viên VSIP Nghệ An,Nghe An,4.3,"['attraction', 'tourism']",18.677103750290705,105.63724149283198,"Khu CN VSIP Nghệ An, Hưng Nguyên, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103262
Tượng cụ Huỳnh,Nghe An,4.4,"['attraction', 'tourism']",18.675356100290564,105.68325415601112,"Hồ Sỹ Dương, Hưng Bình, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103264
Làng Đô Yên,Nghe An,4.5,"['attraction', 'tourism']",18.63734860028762,105.6489212,"Trần Đình San, Cửa Nam, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103270
Ta Mon,Nghe An,4.6,"['attraction', 'tourism']",18.671437500290264,105.67161629999998,"Đào Tấn, Quang Trung, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103273
Nguyen Thi Minh Khai,Nghe An,4.7,"['attraction', 'tourism']",18.67159890029028,105.6745844,"Quang Trung, Quang Trung, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103275
Tien Mon,Nghe An,4.8,"['attraction', 'tourism']",18.66769680028998,105.6693082,"Đường Hào Thành, Quang Trung, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103278
Kien Cuong Bat Nhuat Vinh Quang Doi Doi,Nghe An,4.9,"['attraction', 'tourism']",18.67167250029029,105.6690426,"Đào Tấn, Quang Trung, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103281
Bao Tang Xo Viet Nghe-Tinh,Nghe An,4.0,"['attraction', 'tourism']",18.672078200290322,105.6693812,"Đào Tấn, Quang Trung, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103284
Noi Quy,Nghe An,4.1,"['attraction', 'tourism']",18.671604600290287,105.6748134,"Quang Trung, Quang Trung, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103287
Khu tổ hợp vui chơi,Nghe An,4.2,"['attraction', 'tourism']",18.676475500290657,105.67683490000002,"1, Lê Hồng Phong, Hưng Bình, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103289
Đền Ông Hoàng Mười - Lăng mộ,Nghe An,4.3,"['attraction', 'tourism']",18.640896600287906,105.69162439999998,"National Route 1 bypassing Vinh city, Trung Đô, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103292
Khu lưu niệm Đại Thi Hào Nguyễn Du,Nghe An,4.4,"['attraction', 'tourism']",18.664765700289756,105.7667208,"National Route 8, Tiên Điền, Hà Tĩnh Province 45506, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103294
Bảo tàng Quân khu 4,Nghe An,4.5,"['attraction', 'tourism']",18.65796210028923,105.694656,"Lê Duẩn, Trung Đô, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103299
V.I. Lê-nin,Nghe An,4.6,"['attraction', 'tourism']",18.67676490029068,105.69475829999999,"Nguyễn Phong Sắc, Hưng Dũng, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103301
Türkiye parkı,Nghe An,4.7,"['attraction', 'tourism']",18.67450850029051,105.67433719999998,"Quang Trung, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103306
中国公园,Nghe An,4.8,"['attraction', 'tourism']",18.67636590029066,105.67650039999998,"Hưng Bình, Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103309
Attraction Nghe An 20,Nghe An,4.9,"['attraction', 'tourism']",18.66852275029004,105.68739892872165,"Vinh, Nghệ An Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:36.103312
Chứng tích nhà thờ Tam tòa,Quang Binh,4.0,"['attraction', 'tourism']",17.475000450184094,106.62335010230639,"Nguyen Du Road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068942
Bao Ninh Beach,Quang Binh,4.1,"['attraction', 'tourism']",17.46553355018316,106.64412534103606,"Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068952
Quảng Bình Quan,Quang Binh,4.2,"['attraction', 'tourism']",17.46333675018294,106.62405294999999,"Quang Trung Road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068955
Thánh đường Giáo Xứ Tam Tòa,Quang Binh,4.3,"['attraction', 'tourism']",17.46425455018303,106.60706736021984,"Pham Van Dong road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068963
Tượng đài Bác Hồ,Quang Binh,4.4,"['attraction', 'tourism']",17.46789140018339,106.62147909330801,"Nguyen Thi Minh Khai Road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068965
Công viên Trung Tâm Thành Phố,Quang Binh,4.5,"['attraction', 'tourism']",17.473673200183967,106.60853128720277,"Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068968
Cổng số 1,Quang Binh,4.6,"['attraction', 'tourism']",17.481583600184752,106.6080135432242,"Nguyen Van Linh Road, Dong Thuan Ward, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068971
Cổng số 2,Quang Binh,4.7,"['attraction', 'tourism']",17.483800750184965,106.60585933683149,"Ly Thuong Kiet Road, Dong Thuan Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068973
Cổng số 3,Quang Binh,4.8,"['attraction', 'tourism']",17.482321400184823,106.60432895528231,"Huu Nghi Road, Dong Thuan Ward, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068991
Khu trữ nước tại công viên Cầu Rào,Quang Binh,4.9,"['attraction', 'tourism']",17.4730327501839,106.60985817423864,"Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068994
Công viên Angel Park,Quang Binh,4.0,"['attraction', 'tourism']",17.4559203001822,106.64545670694577,"Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068996
Quảng trường Hồ chí Minh,Quang Binh,4.1,"['attraction', 'tourism']",17.467898950183393,106.6216397792085,"Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.068998
Công viên Cá Heo,Quang Binh,4.2,"['attraction', 'tourism']",17.468891200183485,106.60921574339652,"Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.069000
Ngã ba Rình Rình Nhánh Đông HCM,Quang Binh,4.3,"['attraction', 'tourism']",17.483907700184975,106.5317896,"East Ho Chi Minh Highway, Nam Trach commune, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.069004
Nhà ông bà ngoại Subell,Quang Binh,4.4,"['attraction', 'tourism']",17.45746580018235,106.61220899999998,"Nguyen Van Cu road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.069007
Cau Nhat Le,Quang Binh,4.5,"['attraction', 'tourism']",17.472364800183836,106.62699439999999,"Nhat Le 1 Bridge, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.069009
Tuan Viet Center,Quang Binh,4.6,"['attraction', 'tourism']",17.463192200182924,106.62479889999999,"Me Suot Road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.069011
Cảng Đồng Hới,Quang Binh,4.7,"['attraction', 'tourism']",17.475325100184122,106.62328839999999,"Nguyen Du Road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.069013
Children Statue,Quang Binh,4.8,"['attraction', 'tourism']",17.475999800184187,106.6235837,"Nguyen Du Road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.069015
Dolphin statue,Quang Binh,4.9,"['attraction', 'tourism']",17.476630200184253,106.62390719999999,"Nguyen Du Road, Dong Hoi Ward, Quảng Trị Province, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:48.069018
Trung tâm Nghệ thuật Điềm Phùng Thị,Thua Thien Hue,4.0,"['attraction', 'tourism']",16.46696445007744,107.58957213056016,"17, Lê Lợi, Phường Thuận Hóa, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359767
Khai Dinh,Thua Thien Hue,4.2,"['attraction', 'tourism']",16.398953700069846,107.59028009999999,"Đường Đại Nam, Thuận Hóa District, Huế 530000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359782
Hoàng Thành Huế,Thua Thien Hue,4.3,"['attraction', 'tourism']",16.46897260007767,107.57812659999999,"Dai Trieu Ground, Phường Phú Xuân, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359785
Cinestar Huế,Thua Thien Hue,4.4,"['attraction', 'tourism']",16.460783500076754,107.58976559999999,"25, Hai Bà Trưng, Phường Thuận Hóa, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359787
Ngọ Môn,Thua Thien Hue,4.5,"['attraction', 'tourism']",16.46768370007752,107.57907967625349,"Cầu Ngoại Kim Thuỷ, Phường Phú Xuân, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359790
Bửu Thành,Thua Thien Hue,4.6,"['attraction', 'tourism']",16.38792565006861,107.56680235943068,"Thông Minh Chính Trực Bridge, Phú Xuân District, Huế, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359793
Bảo tàng Hồ Chí Minh,Thua Thien Hue,4.7,"['attraction', 'tourism']",16.459624900076626,107.58110825370926,"7, Lê Lợi, Phường Thuận Hóa, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359796
Nha Trung Bay Nong Cu,Thua Thien Hue,4.8,"['attraction', 'tourism']",16.46677910007743,107.64212528985712,"Thanh Toan Bridge, Thanh Toàn, Huế, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359802
Điện Thái Hòa,Thua Thien Hue,4.9,"['attraction', 'tourism']",16.46874445007765,107.57838670071291,"Dai Trieu Ground, Phường Phú Xuân, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359805
Bảo tàng Cổ vật Cung đình Huế,Thua Thien Hue,4.0,"['attraction', 'tourism']",16.47130790007793,107.58194489875714,"Đinh Công Tráng, Phường Phú Xuân, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359810
Nhà hát Sông Hương,Thua Thien Hue,4.1,"['attraction', 'tourism']",16.459032750076567,107.57730344240875,"1, Le Loi Street, Phường Thuận Hóa, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359813
Cung An Định,Thua Thien Hue,4.2,"['attraction', 'tourism']",16.456634300076303,107.5983094,"179, Phan Đình Phùng, Phường Thuận Hóa, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359816
Ho Thuy Tien,Thua Thien Hue,4.3,"['attraction', 'tourism']",16.409498700071023,107.5770314,"Thủy Tiên, Thuận Hóa District, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359818
Boi Tran Garden,Thua Thien Hue,4.4,"['attraction', 'tourism']",16.407443300070792,107.58463929999999,"Đường Đại Nam, Thuận Hóa District, Huế, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359821
Lăng Minh Mạng,Thua Thien Hue,4.5,"['attraction', 'tourism']",16.387754450068584,107.56778324774305,"Minh Mang, Phú Xuân District, Huế, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359824
Lăng Tự Đức,Thua Thien Hue,4.6,"['attraction', 'tourism']",16.433039850073666,107.56551590375688,"Đường Đoàn Nhữ Hải, Thuận Hóa District, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359826
Lăng Dục Đức,Thua Thien Hue,4.7,"['attraction', 'tourism']",16.452246050075807,107.59307842058533,"Duy Tân, Phường An Cựu, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359829
Lăng Đồng Khánh,Thua Thien Hue,4.8,"['attraction', 'tourism']",16.429636200073283,107.56852263090434,"Đường Đoàn Nhữ Hải, Thuận Hóa District, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359833
Vòng Thành,Thua Thien Hue,4.9,"['attraction', 'tourism']",16.476075800078462,107.55986400382082,"Lương Y, Phường Phú Xuân, Huế, Huế 54000, Vietnam",attraction,0.0,,,,,,,,,,,2025-10-22T02:14:59.359836
